date, pm25, pm10, o3, no2, so2
30/01/2022, ,10,18,17, 
31/01/2022,27,38,16,30, 
01/02/2022,74,15,18,26,3
02/02/2022,38,19,15,28, 
03/02/2022,45,42,7,35, 
04/02/2022,78,26,18,23, 
05/02/2022,54, ,18,10, 
06/02/2022, ,11,16,15, 
07/02/2022,32,16,18,20, 
08/02/2022,39,27,6,42,1
09/02/2022,49,34,13,32, 
10/02/2022,64,43,5,32, 
11/02/2022,74,46,11,35, 
12/02/2022,76,36,19,18, 
13/02/2022,70,14,22,17, 
14/02/2022,26,13,22,18, 
15/02/2022,20,19,22,24, 
16/02/2022,34,16,21,22, 
17/02/2022,32,5,18,10, 
18/02/2022,17,4,22,9, 
19/02/2022,16, ,23,4, 
20/02/2022, ,3,23,10, 
21/02/2022,17,13,21,15, 
22/02/2022,29,15,20,20, 
23/02/2022,36,16,13,27, 
24/02/2022,27,35,18,26,1
25/02/2022,67,24,27,13, 
26/02/2022,55,18,28,9, 
27/02/2022,38,13,34,7, 
28/02/2022,33,14,23,23, 
01/03/2022,27,25,25,23, 
02/03/2022,49,15,32,16, 
03/03/2022,25,12,34,10, 
04/03/2022,21,11,33,7, 
05/03/2022,18, ,23,16, 
06/03/2022, ,13,20,12, 
07/03/2022,22,12,36,18, 
08/03/2022,25,23,21,23, 
09/03/2022,25,19, ,18, 
10/03/2022,20,16,30,14,2
11/03/2022,18,18,31,20, 
12/03/2022,19,22,30,15, 
13/03/2022,37,15,32,13, 
14/03/2022,20,12,25,11, 
15/03/2022,21,163,16,13, 
16/03/2022,70,128,28,8, 
17/03/2022,142,49,24,9, 
18/03/2022,48,12,23,13, 
19/03/2022,15, ,26,15, 
20/03/2022, ,16,28,11,2
21/03/2022,27,7,25,15, 
22/03/2022,16,21,25,21, 
23/03/2022,24,7,26,13, 
24/03/2022,17,36,29,9, 
25/03/2022,30,32,21,11, 
26/03/2022,52,34,25,9, 
27/03/2022,55,53,25,8, 
28/03/2022,56,23,31,11, 
29/03/2022,31,24,40,6, 
30/03/2022,32,12,32,8,1
31/03/2022,15,12,32,8, 
01/04/2022,13, ,32,9, 
02/04/2022, ,5,34,6, 
03/04/2022,14,6,32,7, 
04/04/2022,14,8,31,8, 
05/04/2022,15,15,32,13, 
06/04/2022,17,8,30,11,7
07/04/2022,15,10,23,17, 
08/04/2022,15, ,20,14, 
09/04/2022, , ,33,10, 
10/04/2022, ,11,32,7, 
11/04/2022,13,11,27,12, 
12/04/2022,13,10,31,7, 
13/04/2022,13,9,31,7, 
14/04/2022,11, ,33,6, 
15/04/2022, ,10,32,10, 
16/04/2022,16,11,34,4, 
17/04/2022,21,14,28,4,1
18/04/2022,17,7,38,5, 
19/04/2022,16,7,37,5, 
20/04/2022,17,10,33,13, 
21/04/2022,19, ,32,20, 
22/04/2022, , ,31,15, 
23/04/2022, , ,38,18, 
24/04/2022, ,20,33,16, 
25/04/2022,24,14,25,16, 
26/04/2022,17,14,33,13, 
27/04/2022,15,13,34,9, 
28/04/2022,16,8,34,9,1
29/04/2022,17,20,37,17, 
30/04/2022,38, ,41,4, 
01/05/2022, ,9,41,4, 
02/05/2022,22,19,43,8, 
03/05/2022,38,14,37,7, 
04/05/2022,26,16,37,8, 
05/05/2022,29,21,31,16, 
06/05/2022,48,21,35,21, 
07/05/2022,47, ,42,16, 
08/05/2022, ,17,40,15, 
09/05/2022,42,24,36,15, 
10/05/2022,42,21,31,23, 
11/05/2022,40,10,31,21, 
12/05/2022,18,24,33,16,1
13/05/2022,41, ,37,27, 
14/05/2022, ,14,40,13, 
15/05/2022,21,13,28,4, 
16/05/2022,18,13,21,7, 
17/05/2022,20,10,14,11,1
18/05/2022,16,9,28,8, 
19/05/2022,14,17,29,14,17
20/05/2022,16,31,31,16,10
21/05/2022,41,8,33,9,2
22/05/2022,13,10,33,5,5
23/05/2022,16,9,30,6,1
24/05/2022,15,10,32,5, 
25/05/2022,15,14,32,7, 
26/05/2022,16,20,35,12, 
27/05/2022,34,24,38,22, 
28/05/2022,43,12,38,19, 
29/05/2022,25,14,35,7, 
30/05/2022,20,11,27,9, 
31/05/2022,16,18,19,8, 
01/06/2022,15,16,26,9, 
02/06/2022,16,14,28,8, 
03/06/2022,16,8,26,9, 
04/06/2022,15,7,26,7, 
05/06/2022,15,7,32,4, 
06/06/2022,18,9,22,5, 
07/06/2022,26,5,12,4, 
08/06/2022,17,3,26,5,10
09/06/2022,13,13,30,4, 
10/06/2022,17,15,29,4, 
11/06/2022,27,16,31,7, 
12/06/2022,31,22,34,12, 
13/06/2022,37,24,23,15, 
14/06/2022,38,31,19,15, 
15/06/2022,46,15,21,10,7
16/06/2022,22,12,19,11,3
17/06/2022,14,10, , , 
18/06/2022,15,8, , , 
19/06/2022,14,9, , , 
20/06/2022,15,9, , , 
21/06/2022,22,12, , , 
22/06/2022,23,12,28,11, 
23/06/2022,25,10,16,13, 
24/06/2022,24,6,35,4, 
25/06/2022,20,8,28,5, 
26/06/2022,26,8,28,5, 
27/06/2022,23,14,28,5, 
28/06/2022,29,10,26,4, 
29/06/2022,23,13,26,4, 
30/06/2022,27,14,24,5, 
01/07/2022,53,12,32,7, 
02/07/2022,28,19,36,7, 
03/07/2022,42,22,28,11, 
04/07/2022,64,19,28,12, 
05/07/2022,55,22,39,14, 
06/07/2022,49,21,47,17, 
07/07/2022,45,22,41,20, 
08/07/2022,50,18,50,26, 
09/07/2022,40,14,47,6, 
10/07/2022,41,17,35,10, 
11/07/2022,33,26,30,25, 
12/07/2022,44,32,34,33, 
13/07/2022,53,30,29,22, 
14/07/2022,51,26,30,23, 
15/07/2022,45,19,36,12, 
16/07/2022,34,17,37,7,1
17/07/2022,32,12,24,10, 
18/07/2022,29,12,27,5, 
19/07/2022,24,13,30,6, 
20/07/2022,28,18,29,9, 
