temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,Ozono (µg/m3),Dióxido de Azoto (µg/m3),Óxidos de Azoto (µg/m3),Monóxido de Azoto (µg/m3),pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,temp cahnge,temp cahnge2,risk level
17.4,23.0,13.5,17.4,11.1,67.9,0.0,0.0,0.0,27.6,1012.9,1.6,10.6,298.5,25.6,9.0,69.5,9.85,12.3,1.05,3.0,1.0,0.0,0.0,0.0,0.0,9.5,0.09999999999999787,-2.400000000000002,0
18.1,22.6,13.6,18.1,10.9,63.2,0.0,0.0,0.0,17.5,1016.3,1.3,10.4,306.3,26.4,9.0,86.5,12.6,13.75,1.3,4.0,1.0,0.0,0.0,0.0,0.0,9.000000000000002,-2.299999999999997,-4.099999999999998,0
16.7,20.8,14.1,16.7,10.5,67.6,0.0,0.0,0.0,17.5,1020.1,13.7,12.2,206.9,17.7,8.0,84.5,6.85,7.550000000000001,0.45,4.0,1.0,0.0,0.0,0.0,0.0,6.700000000000001,-1.4000000000000021,-3.6999999999999993,1
16.1,17.6,14.6,16.1,15.3,95.4,11.46,100.0,70.83,59.0,1016.3,15.6,7.4,158.5,13.5,6.0,50.5,12.3,14.7,0.7,4.0,0.0,0.0,1.0,0.0,0.0,3.0000000000000018,-0.5999999999999979,-0.5999999999999979,1
16.6,19.5,14.6,16.6,15.9,96.1,2.116,100.0,37.5,31.4,1016.0,16.0,7.2,137.2,11.8,5.0,42.5,8.25,9.9,0.6499999999999999,4.0,0.0,0.0,1.0,0.0,0.0,4.9,0.5,-0.09999999999999787,0
17.7,20.5,15.0,17.7,15.1,85.7,0.485,100.0,25.0,17.8,1017.6,12.8,10.3,218.3,19.2,9.0,45.0,8.8,11.75,0.8500000000000001,4.0,0.0,0.0,1.0,0.0,0.0,5.5,1.0999999999999979,1.5999999999999979,0
26.1,31.4,19.9,25.3,9.2,36.8,0.0,0.0,0.0,23.6,1017.7,0.4,11.2,326.6,27.9,9.0,76.5,10.65,11.85,0.5,4.0,1.0,0.0,0.0,0.0,0.0,13.200000000000003,6.100000000000001,8.400000000000002,1
27.5,31.5,21.8,26.6,4.5,24.1,0.0,0.0,0.0,22.1,1015.2,0.0,12.3,335.4,28.8,10.0,103.0,17.4,18.25,0.75,4.0,1.0,0.0,0.0,0.0,0.0,12.2,1.3999999999999986,7.5,1
25.3,29.6,20.3,25.0,10.2,39.5,0.0,0.0,0.0,19.6,1013.7,2.5,11.8,328.6,28.3,9.0,99.0,17.1,18.35,0.8500000000000001,4.0,1.0,0.0,0.0,0.0,0.0,10.599999999999998,-2.1999999999999993,-0.8000000000000007,1
23.0,29.1,17.6,22.8,10.8,47.9,0.0,0.0,0.0,25.2,1013.2,4.7,12.0,326.4,28.1,9.0,76.5,22.2,24.15,1.4500000000000002,4.0,1.0,0.0,0.0,0.0,0.0,12.7,-2.3000000000000007,-4.5,1
16.9,21.4,14.6,16.9,10.8,68.1,0.0,0.0,0.0,27.7,1014.8,11.9,11.8,197.3,17.1,7.0,80.0,8.75,10.65,0.8500000000000001,4.0,1.0,0.0,0.0,0.0,0.0,6.799999999999999,-6.100000000000001,-8.400000000000002,0
